iter	RMSE
0	12.23570257
1	10.32137501
2	9.153644141
3	8.137151257
4	7.439152235
5	6.87953563
6	6.570614919
7	6.314298687
8	6.106424365
9	5.987541004
10	5.854126619
11	5.741789533
12	5.661358008
13	5.591225321
14	5.540455489
15	5.5071962
16	5.464240943
17	5.423354051
18	5.382559335
19	5.357366005
20	5.332987656
21	5.300219056
22	5.283012773
23	5.271160798
24	5.248579199
25	5.233960022
26	5.20656492
27	5.198448232
28	5.186029688
29	5.153306383
30	5.14254697
31	5.113711914
32	5.10714563
33	5.084126873
34	5.053259125
35	5.032406508
36	5.005068126
37	4.993952588
38	4.98083771
39	4.977322691
40	4.968417367
41	4.94962075
42	4.925891998
43	4.914588799
44	4.897727737
45	4.885279887
46	4.854993159
47	4.836217226
48	4.829214888
49	4.809562034
50	4.78933108
51	4.763062382
52	4.74888785
53	4.733695949
54	4.7211194
55	4.715507133
56	4.712687567
57	4.69080729
58	4.667579927
59	4.665127884
60	4.644332576
61	4.64183366
62	4.629546297
63	4.618532175
64	4.600603109
65	4.577149258
66	4.569727421
67	4.567882008
68	4.563210752
69	4.556594507
70	4.555328974
71	4.53298338
72	4.529559063
73	4.523200378
74	4.515347568
75	4.501422267
76	4.487995461
77	4.477564397
78	4.476097485
79	4.465522756
80	4.453508358
81	4.438764516
82	4.425945311
83	4.416895283
84	4.387506446
85	4.374805749
86	4.354712847
87	4.346800953
88	4.327986575
89	4.296278943
90	4.280353215
91	4.267317877
92	4.259620785
93	4.253037169
94	4.245721695
95	4.242745771
96	4.239314548
97	4.234570704
98	4.212081644
99	4.203614936
100	4.202614149
101	4.183966629
102	4.175958564
103	4.168767139
104	4.162618212
105	4.152459509
106	4.152141077
107	4.15128693
108	4.143463152
109	4.131961686
110	4.120385437
111	4.102608999
112	4.086368247
113	4.084549149
114	4.066696276
115	4.056739977
116	4.054325837
117	4.053269863
118	4.041175993
119	4.034510403
120	4.033988127
121	4.015975866
122	4.014293467
123	4.007154032
124	4.001879888
125	3.990367764
126	3.984433774
127	3.979023107
128	3.971598958
129	3.958004278
130	3.94403477
131	3.93868828
132	3.937554325
133	3.932946286
134	3.932339407
135	3.926706928
136	3.92088945
137	3.914641812
138	3.903126277
139	3.887724592
140	3.8868973
141	3.873561492
142	3.862428764
143	3.852777499
144	3.836242842
145	3.829497523
146	3.824649071
147	3.819054575
148	3.818419722
149	3.816140554
150	3.80378799
151	3.792928733
152	3.784012182
153	3.772543196
154	3.772176855
155	3.763798963
156	3.760901683
157	3.758070428
158	3.752259319
159	3.737968226
160	3.728802447
161	3.723630844
162	3.719781325
163	3.716863527
164	3.709073003
165	3.701227011
166	3.699304857
167	3.696850422
