iter	Passed	Remaining
0	0	574
1	0	495
2	1	449
3	1	422
4	2	406
5	2	396
6	2	388
7	3	382
8	3	376
9	3	372
10	4	369
11	4	366
12	4	364
13	5	361
14	5	360
15	5	363
16	6	361
17	6	361
18	6	359
19	7	364
20	7	369
21	8	392
22	10	426
23	10	428
24	11	431
25	11	428
26	11	426
27	12	422
28	12	418
29	12	415
30	13	412
31	13	409
32	13	405
33	14	405
34	14	403
35	14	400
36	15	399
37	15	396
38	16	394
39	16	392
40	16	392
41	17	391
42	17	390
43	18	391
44	18	390
45	18	388
46	19	387
47	19	386
48	19	385
49	20	384
50	20	383
51	21	383
52	21	382
53	21	385
54	23	396
55	23	397
56	24	400
57	24	401
58	25	400
59	25	400
60	25	399
61	26	398
62	26	398
63	27	397
64	27	397
65	28	397
66	28	396
67	28	395
68	29	394
69	29	393
70	30	393
71	30	392
72	30	391
73	31	390
74	31	390
75	32	389
76	32	388
77	32	387
78	33	386
79	33	386
80	33	385
81	34	385
82	34	384
83	35	383
84	35	383
85	36	384
86	36	386
87	37	391
88	38	391
89	38	391
90	39	390
91	39	389
92	39	389
93	40	388
94	40	387
95	41	387
96	41	386
97	41	385
98	42	385
99	42	384
100	43	384
101	43	384
102	44	383
103	44	383
104	44	382
105	45	381
106	45	380
107	46	380
108	46	379
109	46	378
110	47	378
111	47	377
112	48	377
113	48	377
114	48	376
115	49	376
116	49	375
117	50	375
118	50	375
119	51	376
120	51	377
121	52	378
122	53	378
123	53	377
124	53	377
125	54	377
126	54	376
127	55	376
128	55	375
129	56	374
130	56	374
131	56	373
132	57	372
133	57	372
134	57	371
135	58	370
136	58	370
137	59	369
138	59	368
139	59	368
140	60	367
141	60	368
142	61	367
143	61	366
144	62	366
145	62	365
146	62	364
147	63	364
148	63	363
149	64	362
150	64	361
151	64	361
152	65	360
153	65	360
154	66	361
155	66	361
156	67	361
157	67	361
158	68	361
159	68	360
160	69	360
161	69	359
162	69	359
163	70	358
164	70	358
165	71	357
166	71	357
167	72	357
168	72	357
169	73	357
170	73	356
171	73	356
172	74	355
173	74	355
174	75	354
175	75	354
176	76	353
177	76	353
178	76	352
179	77	351
180	77	351
181	78	350
182	78	350
183	79	350
184	79	350
185	79	349
186	80	349
187	81	350
188	81	349
189	81	349
190	82	349
191	82	348
192	83	348
193	83	347
194	84	347
195	84	346
196	84	346
197	85	345
198	85	345
199	86	344
200	86	344
201	87	344
202	87	343
203	87	343
204	88	342
205	88	342
206	89	341
207	89	341
208	90	340
209	90	340
210	90	339
211	91	339
212	91	339
213	92	338
214	92	338
215	93	337
216	93	337
217	93	337
218	94	336
219	94	336
220	95	337
221	96	337
222	96	336
223	97	336
224	97	336
225	98	335
226	98	335
227	98	334
228	99	334
229	99	333
230	100	333
231	100	332
232	100	331
233	101	331
234	101	330
235	102	330
236	102	329
237	102	329
238	103	328
239	103	328
240	104	327
241	104	327
242	104	326
243	105	326
244	105	325
245	106	325
246	106	324
247	106	324
248	107	323
249	107	322
250	108	322
251	108	321
252	108	321
253	109	320
254	109	320
255	110	320
256	110	320
257	111	319
258	111	319
259	112	318
260	112	318
261	112	317
262	113	317
263	113	317
264	114	316
265	114	316
266	115	315
267	115	315
268	115	314
269	116	314
270	116	313
271	117	313
272	117	312
273	117	312
274	118	311
275	118	311
276	119	310
277	119	310
278	119	309
279	120	309
280	120	308
281	121	308
282	121	308
283	122	308
284	122	307
285	123	307
286	123	306
287	124	306
288	124	306
289	125	306
290	125	306
291	126	306
292	126	305
293	127	305
294	127	304
295	127	304
296	128	303
297	128	303
298	129	302
299	129	302
300	129	301
301	130	301
302	130	300
303	131	299
304	131	299
305	131	298
306	132	298
307	132	297
308	132	297
309	133	296
310	133	296
311	134	295
312	134	295
313	134	294
314	135	294
315	135	293
316	136	293
317	136	292
318	136	292
319	137	291
320	137	291
321	138	290
322	138	290
323	138	289
324	139	289
325	140	289
326	140	289
327	141	289
328	141	288
