iter	Passed	Remaining
0	0	660
1	1	623
2	1	596
3	2	581
4	3	601
5	3	602
6	4	599
7	4	597
8	5	595
9	6	596
10	6	599
11	7	596
12	7	591
13	8	591
14	8	588
15	9	585
16	10	581
17	10	581
18	11	586
19	12	589
20	12	585
21	13	582
22	13	580
23	14	577
24	14	574
25	15	571
26	15	568
27	16	566
28	16	563
29	17	566
30	18	573
31	19	574
32	19	575
33	20	576
34	20	575
35	21	576
36	22	574
37	22	573
38	23	574
39	23	572
40	24	570
41	24	568
42	25	570
43	26	571
44	26	570
45	27	568
46	27	566
47	28	564
48	29	563
49	29	561
50	30	559
51	30	558
52	31	556
53	31	554
54	32	554
55	33	557
56	34	563
57	34	563
58	35	564
59	35	562
60	36	561
61	37	560
62	37	561
63	38	561
64	38	560
65	39	558
66	40	557
67	40	556
68	41	555
69	41	554
70	42	552
71	42	551
72	43	550
73	43	548
74	44	547
75	44	546
76	45	545
77	46	544
78	46	543
79	47	542
80	47	541
81	48	543
82	48	540
83	49	540
84	50	540
85	50	539
86	51	543
87	52	541
88	52	541
89	53	540
90	54	539
91	54	540
92	55	540
93	55	539
94	56	538
95	57	536
96	57	535
97	58	534
98	58	533
99	59	532
100	59	531
101	60	531
102	60	530
103	61	529
104	62	529
105	62	531
106	63	533
107	64	535
108	65	535
109	66	534
110	66	534
111	67	535
112	68	534
113	68	533
114	69	536
115	70	536
116	70	535
117	71	534
118	72	535
119	73	536
120	73	535
121	74	533
122	74	533
123	75	532
124	75	531
125	76	531
126	77	529
127	77	529
128	78	529
129	79	529
130	79	529
131	80	528
132	80	527
133	81	526
134	82	526
135	82	525
136	83	523
137	83	523
138	84	524
139	85	524
140	85	523
141	86	521
142	86	520
143	87	519
144	87	518
145	88	517
146	89	516
147	89	515
148	90	514
149	90	514
150	91	513
151	91	512
152	92	511
153	93	511
154	93	511
155	94	511
156	95	510
157	95	509
158	96	508
159	97	509
160	97	507
161	97	506
162	98	505
163	99	505
164	100	506
165	100	505
166	101	504
167	101	503
168	102	502
169	102	501
170	103	500
171	103	499
172	104	499
173	104	498
174	105	497
175	106	496
176	106	496
177	107	495
178	107	494
179	108	494
180	109	493
181	109	493
182	110	493
183	111	492
184	111	492
185	112	491
186	112	490
187	113	489
188	113	489
189	114	488
190	115	487
191	115	486
192	116	486
193	116	486
194	117	485
195	118	484
196	118	483
197	119	483
198	119	482
199	120	481
200	120	480
201	121	479
202	122	479
203	122	478
204	123	478
205	124	478
206	124	477
207	125	476
208	125	476
209	126	475
210	126	474
211	127	473
212	128	473
213	128	472
214	129	472
215	130	472
216	130	471
217	131	470
218	131	469
219	132	468
220	132	468
221	133	467
222	134	467
223	134	466
224	135	465
225	135	464
226	136	464
227	136	463
228	137	462
229	138	462
230	138	462
231	139	461
232	140	460
233	140	461
234	141	461
235	142	460
236	142	459
237	143	459
238	144	458
239	144	458
240	145	457
241	145	456
242	146	455
243	146	455
244	147	454
245	147	453
246	148	452
247	149	451
248	149	451
249	150	450
250	150	449
251	151	449
